record_id,name,dt,n_samples,total_duration,H1_file,H1_SD,H1_IA_total,H1_pot_dest,H1_peak1,H1_PGA,H2_file,H2_SD,H2_IA_total,H2_pot_dest,H2_peak1,H2_PGA,V_file,V_SD,V_IA_total,V_pot_dest,V_peak1,V_PGA
AMNT,AMNT,0.01,5001,50.01,AMNT_201604162359_N_100_N,16.27,2.2875285831447782,8.331130845903422,0.5435869565217392,0.5197338043829703,AMNT_201604162359_E_100_E,17.42,2.499307062257169,5.310939876788517,2.6321052631578947,0.4018388591321455,AMNT_201604162359_Z_100_Z,22.39,0.40519130134848647,0.8711468368617539,2.6321052631578947,0.16939575917606664
APED,APED,0.01,17502,175.02,APED_201604162359_N_100_N,29.970000000000002,18.97274874552236,57.533906274548286,0.4888826815642458,0.8340238159724609,APED_201604162359_E_100_E,28.780000000000005,28.805483884764854,121.54069491903454,0.6434558823529412,1.3486424938690857,APED_201604162359_Z_100_Z,28.53,6.285456296088196,7.890426551586205,0.09007720020586721,0.7070822419239291
Concepcion,Concepcion,0.005,28338,141.69,Concepcion_Maule2010_Y_E,88.255,5.95017992302629,21.695518646077673,1.540108695652174,0.29196634109428116,Concepcion_Maule2010_X_N,81.09,9.151729583684972,51.546866009903034,1.557032967032967,0.41072807963422014,Concepcion_Maule2010_Z_Z,66.095,7.9848850696436395,13.87073549171964,0.4204451038575667,0.3801970052402592
Constitucion,Constitucion,0.005,28657,143.285,Constitucion_Maule2010_X_N,59.934999999999995,20.623746028798546,46.13257319164582,0.3347780373831776,0.5557686209545961,Constitucion_Maule2010_Y_E,65.36500000000001,27.30927566806373,67.7015391835462,0.422669616519174,0.6407914565000826,Constitucion_Maule2010_Z_Z,54.309999999999995,3.9783875569781175,2.6158036086279264,0.7829781420765027,0.35936473361996685
Llolleo,Llolleo,0.005,24923,124.61500000000001,Llolleo_Maule2010_X_N,36.349999999999994,5.171840248380005,9.676407283780302,0.6049271844660195,0.3344155046199703,Llolleo_Maule2010_Y_E,31.995000000000005,10.623185813794707,18.124407604114154,0.43571678321678325,0.5690812057750377,Llolleo_Maule2010_Z_Z,33.379999999999995,6.767287669927181,5.566048225585202,0.2396442307692308,0.7106693012141138
RSN160,RSN160,0.005,7563,37.815,RSN160_IMPVALL.H_H-BCR140_N,9.705,3.911635522992894,8.084631682245083,0.7134905660377359,0.586636425590008,RSN160_IMPVALL.H_H-BCR230_E,9.75,6.019704603613404,26.560945137277063,0.63025,0.7861557333751537,RSN160_IMPVALL.H_H-BCR-UP_Z,10.11,1.1195473310015462,0.4058228777448425,0.10712464589235128,0.35500241034764046
RSN4116,RSN4116,0.005,4203,21.015,RSN4116_PARK2004_Z14360_N,7.16,2.759181767640796,4.069492103946597,0.8406,0.559489723647989,RSN4116_PARK2004_Z14090_E,5.860000000000001,7.6381424918465015,8.687751868291201,0.4120588235294118,1.3116583095000218,RSN4116_PARK2004_Z14-UP_Z,7.555,1.1190940562941263,0.9757839214592772,0.4120588235294118,0.5701792322504333
RSN779,RSN779,0.005,5001,25.005,RSN779_LOMAP_LGP090_N,7.83,3.0887788794414037,6.025051651480532,0.6098780487804878,0.6074604633308374,RSN779_LOMAP_LGP000_E,10.184999999999999,7.89326329609988,36.038348747625285,0.6411538461538462,0.5603441695440676,RSN779_LOMAP_LGP-UP_Z,6.6850000000000005,2.554083297691313,3.485680105373986,0.27478021978021977,0.9287698511961866
RSN983,RSN983,0.005,5727,28.635,RSN983_NORTHR_JGB022_N,6.9,3.23977484150396,7.129234607055107,0.34920731707317076,0.5694648592476417,RSN983_NORTHR_JGB292_E,5.69,6.517895446784654,14.492644136134333,0.345,0.9773101877897061,RSN983_NORTHR_JGB-UP_Z,6.665,2.954365038199545,2.1450049390410504,0.14462121212121212,0.739749106492328
SantiagoCentro,SantiagoCentro,0.005,41000,205.0,SantiagoCentro_Maule2010_X_N,35.375,2.2179753639227533,2.915467642686486,0.3333333333333333,0.21712685803476728,SantiagoCentro_Maule2010_Y_E,34.13999999999999,2.812023910542212,3.746447257915235,0.40755467196819084,0.3138178950094155,SantiagoCentro_Maule2010_Z_Z,48.11,1.4072245735143665,1.2229240569423772,0.232163080407701,0.18255153863278398
VentanasAlgarrobo1985,VentanasAlgarrobo1985,0.003865,31536,121.88664,VentanasAlgarrobo1985_X_N,61.681535,3.3492105919252486,4.617771256643028,1.3850754545454547,0.21040232884091487,VentanasAlgarrobo1985_Y_E,62.531835,4.296840814213446,11.08027093699118,1.0882735714285716,0.22999524335746752,VentanasAlgarrobo1985_Z_Z,66.141745,1.3476430184740242,0.8780224861796051,0.20693826825127337,0.1745213703659955
VinadelMarAlgarrobo1985,VinadelMarAlgarrobo1985,0.02486,4678,116.29508,VinadelMarAlgarrobo1985_X_N,43.57958,3.1418033489521138,5.756117611618048,0.5672930731707316,0.21953238558646082,VinadelMarAlgarrobo1985_Y_E,58.19726,7.770311325150424,16.788907681151617,1.2241587368421052,0.3484983273615726,VinadelMarAlgarrobo1985_Z_Z,62.7715,2.074834616579523,1.0352871220141822,0.459664347826087,0.1701861392467911
