record_id,name,dt,n_samples,total_duration,H1_file,H1_SD,H1_IA_total,H1_pot_dest,H1_peak1,H1_PGA,H1_PGV,H2_file,H2_SD,H2_IA_total,H2_pot_dest,H2_peak1,H2_PGA,H2_PGV,V_file,V_SD,V_IA_total,V_pot_dest,V_peak1,V_PGA,V_PGV
AMNT,AMNT,0.010000,5001,50.010000,AMNT_201604162359_N_100_N,16.270000,2.287529,8.331131,0.543587,0.519734,0.000000,AMNT_201604162359_E_100_E,17.420000,2.499307,5.310940,2.632105,0.401839,0.000000,AMNT_201604162359_Z_100_Z,22.390000,0.405191,0.871147,2.632105,0.169396,0.000000
APED,APED,0.010000,17502,175.020000,APED_201604162359_N_100_N,29.970000,18.972749,57.533906,0.488883,0.834024,0.000000,APED_201604162359_E_100_E,28.780000,28.805484,121.540695,0.643456,1.348642,0.000000,APED_201604162359_Z_100_Z,28.530000,6.285456,7.890427,0.090077,0.707082,0.000000
Concepcion,Concepcion,0.005000,28338,141.690000,Concepcion_Maule2010_Y_E,88.255000,5.950180,21.695519,1.540109,0.291966,0.000000,Concepcion_Maule2010_X_N,81.090000,9.151730,51.546866,1.557033,0.410728,0.000000,Concepcion_Maule2010_Z_Z,66.095000,7.984885,13.870735,0.420445,0.380197,0.000000
Constitucion,Constitucion,0.005000,28657,143.285000,Constitucion_Maule2010_X_N,59.935000,20.623746,46.132573,0.334778,0.555769,0.000000,Constitucion_Maule2010_Y_E,65.365000,27.309276,67.701539,0.422670,0.640791,0.000000,Constitucion_Maule2010_Z_Z,54.310000,3.978388,2.615804,0.782978,0.359365,0.000000
Llolleo,Llolleo,0.005000,24923,124.615000,Llolleo_Maule2010_X_N,36.350000,5.171840,9.676407,0.604927,0.334416,0.000000,Llolleo_Maule2010_Y_E,31.995000,10.623186,18.124408,0.435717,0.569081,0.000000,Llolleo_Maule2010_Z_Z,33.380000,6.767288,5.566048,0.239644,0.710669,0.000000
RSN160,RSN160,0.005000,7563,37.815000,RSN160_IMPVALL.H_H-BCR140_N,9.705000,3.911636,8.084632,0.713491,0.586636,0.000000,RSN160_IMPVALL.H_H-BCR230_E,9.750000,6.019705,26.560945,0.630250,0.786156,0.000000,RSN160_IMPVALL.H_H-BCR-UP_Z,10.110000,1.119547,0.405823,0.107125,0.355002,0.000000
RSN4116,RSN4116,0.005000,4203,21.015000,RSN4116_PARK2004_Z14360_N,7.160000,2.759182,4.069492,0.840600,0.559490,0.000000,RSN4116_PARK2004_Z14090_E,5.860000,7.638142,8.687752,0.412059,1.311658,0.000000,RSN4116_PARK2004_Z14-UP_Z,7.555000,1.119094,0.975784,0.412059,0.570179,0.000000
RSN779,RSN779,0.005000,5001,25.005000,RSN779_LOMAP_LGP090_N,7.830000,3.088779,6.025052,0.609878,0.607460,0.000000,RSN779_LOMAP_LGP000_E,10.185000,7.893263,36.038349,0.641154,0.560344,0.000000,RSN779_LOMAP_LGP-UP_Z,6.685000,2.554083,3.485680,0.274780,0.928770,0.000000
RSN983,RSN983,0.005000,5727,28.635000,RSN983_NORTHR_JGB022_N,6.900000,3.239775,7.129235,0.349207,0.569465,0.000000,RSN983_NORTHR_JGB292_E,5.690000,6.517895,14.492644,0.345000,0.977310,0.000000,RSN983_NORTHR_JGB-UP_Z,6.665000,2.954365,2.145005,0.144621,0.739749,0.000000
SantiagoCentro,SantiagoCentro,0.005000,41000,205.000000,SantiagoCentro_Maule2010_X_N,35.375000,2.217975,2.915468,0.333333,0.217127,0.000000,SantiagoCentro_Maule2010_Y_E,34.140000,2.812024,3.746447,0.407555,0.313818,0.000000,SantiagoCentro_Maule2010_Z_Z,48.110000,1.407225,1.222924,0.232163,0.182552,0.000000
VentanasAlgarrobo1985,VentanasAlgarrobo1985,0.003865,31536,121.886640,VentanasAlgarrobo1985_X_N,61.681535,3.349211,4.617771,1.385075,0.210402,0.000000,VentanasAlgarrobo1985_Y_E,62.531835,4.296841,11.080271,1.088274,0.229995,0.000000,VentanasAlgarrobo1985_Z_Z,66.141745,1.347643,0.878022,0.206938,0.174521,0.000000
VinadelMarAlgarrobo1985,VinadelMarAlgarrobo1985,0.024860,4678,116.295080,VinadelMarAlgarrobo1985_X_N,43.579580,3.141803,5.756118,0.567293,0.219532,0.000000,VinadelMarAlgarrobo1985_Y_E,58.197260,7.770311,16.788908,1.224159,0.348498,0.000000,VinadelMarAlgarrobo1985_Z_Z,62.771500,2.074835,1.035287,0.459664,0.170186,0.000000
